c1	c2	c3	c4	c5	c6	c7	c8
gene2590	gene2791	gene3027	gene3798	gene3196	gene4898	gene3171	gene2997
gene2592	gene2793	gene3030	gene3799	gene3198	gene4913	gene3177	gene2998
gene2596	gene2794	gene3036	gene3805	gene3207	gene4923	gene3179	gene2999
gene2600	gene2798	gene3037	gene3826	gene3213	gene4927	gene3189	gene3001
gene2607	gene2808	gene3045	gene3827	gene3219	gene4956	gene3191	gene3007
gene2610	gene2812	gene3054	gene3828	gene3220	gene4960	gene3193	gene3009
gene2612	gene2820	gene3058	gene3829	gene3221	gene4967	gene3196	gene3015
gene2614	gene2824	gene3062	gene3839	gene3227	gene4980	gene3200	gene3016
gene2616	gene2826	gene3067	gene3840	gene3233	gene4994	gene3205	gene3021
gene2617	gene2827	gene3068	gene3852	gene3234	gene4997	gene3207	gene3023
gene2620	gene2829	gene3074	gene3864	gene3246	gene4999	gene3208	gene3027
gene2621	gene2832	gene3076	gene3870	gene3247	gene5016	gene3221	gene3028
gene2624	gene2834	gene3082	gene3875	gene3248	gene5029	gene3227	gene3029
gene2626	gene2838	gene3085	gene3884	gene3249	gene5056	gene3233	gene3030
gene2632	gene2839	gene3091	gene3898	gene3252	gene5083	gene3247	gene3036
gene2635	gene2845	gene3095	gene3901	gene3255	gene5096	gene3252	gene3045
gene2636	gene2847	gene3099	gene3906	gene3256	gene5127	gene3258	gene3046
gene2639	gene2848	gene3103	gene3913	gene3260	gene5147	gene3260	gene3048
gene2642	gene2855	gene3109	gene3917	gene3275	gene5156	gene3272	gene3053
gene2644	gene2857	gene3112	gene3919	gene3278	gene5167	gene3284	gene3055
gene2646	gene2860	gene3113	gene3922	gene3283	gene5174	gene3293	gene3057
gene2650	gene2863	gene3114	gene3935	gene3286	gene5194	gene3294	gene3065
gene2653	gene2874	gene3115	gene3941	gene3290	gene5209	gene3297	gene3067
gene2656	gene2876	gene3121	gene3943	gene3300	gene5218	gene3299	gene3068
gene2657	gene2878	gene3130	gene3947	gene3302	gene5219	gene3301	gene3070
gene2659	gene2886	gene3136	gene3948	gene3307	gene5261	gene3302	gene3071
gene2660	gene2891	gene3137	gene3958	gene3311	gene5277	gene3303	gene3075
gene2661	gene2897	gene3138	gene3961	gene3312	gene5292	gene3306	gene3078
gene2664	gene2900	gene3140	gene3973	gene3337	gene5300	gene3307	gene3085
gene2668	gene2902	gene3141	gene3978	gene3365	gene5314	gene3311	gene3093
gene2675	gene2904	gene3144	gene3982	gene3369	gene5335	gene3312	gene3094
gene2676	gene2905	gene3145	gene3994	gene3371	gene5349	gene3317	gene3102
gene2679	gene2912	gene3150	gene3995	gene3377	gene5365	gene3318	gene3104
gene2689	gene2922	gene3151	gene4001	gene3378	gene5375	gene3325	gene3109
gene2691	gene2924	gene3152	gene4005	gene3387	gene5382	gene3328	gene3114
gene2692	gene2942	gene3153	gene4008	gene3402	gene5386	gene3332	gene3118
gene2694	gene2943	gene3162	gene4034	gene3403	gene5392	gene3342	gene3120
gene2695	gene2947	gene3166	gene4036	gene3424	gene5397	gene3344	gene3121
gene2696	gene2952	gene3167	gene4046	gene3430	gene5400	gene3350	gene3123
gene2698	gene2963	gene3169	gene4049	gene3432	gene5409	gene3354	gene3129
gene2699	gene2964	gene3171	gene4051	gene3434	gene5411	gene3355	gene3132
gene2702	gene2968	gene3172	gene4055	gene3435	gene5439	gene3359	gene3137
gene2714	gene2972	gene3181	gene4061	gene3450	gene5441	gene3361	gene3140
gene2715	gene2975	gene3182	gene4066	gene3457	gene5443	gene3363	gene3141
gene2719	gene2987	gene3191	gene4078	gene3459	gene5452	gene3364	gene3144
gene2721	gene2988	gene3201	gene4093	gene3468	gene5462	gene3368	gene3146
gene2727	gene2994	gene3211	gene4105	gene3471	gene5475	gene3371	gene3151
gene2728	gene2997	gene3218	gene4116	gene3472	gene5486	gene3377	gene3153
gene2731	gene2999	gene3219	gene4123	gene3476	gene5511	gene3378	gene3160
gene2734	gene3005	gene3221	gene4125	gene3485	gene5512	gene3396	gene3163
gene2736	gene3008	gene3226	gene4129	gene3487	gene5521	gene3399	gene3170
gene2740	gene3009	gene3230	gene4135	gene3493	gene5546	gene3434	gene3171
gene2747	gene3014	gene3234	gene4136	gene3510	gene5553	gene3442	gene3179
gene2752	gene3017	gene3235	gene4137	gene3513	gene5585	gene3452	gene3196
gene2756	gene3019	gene3237	gene4142	gene3518	gene5597	gene3455	gene3214
gene2759	gene3020	gene3241	gene4143	gene3523	gene5617	gene3459	gene3218
gene2767	gene3021	gene3247	gene4170	gene3524	gene5664	gene3471	gene3220
gene2768	gene3023	gene3248	gene4171	gene3535	gene5673	gene3472	gene3221
gene2773	gene3030	gene3249	gene4175	gene3538	gene5682	gene3477	gene3234
gene2776	gene3034	gene3251	gene4182	gene3544	gene5695	gene3482	gene3247
gene2777	gene3045	gene3252	gene4189	gene3545	gene5696	gene3485	gene3264
gene2783	gene3056	gene3260	gene4190	gene3559	gene5697	gene3490	gene3265
gene2784	gene3062	gene3263	gene4195	gene3560	gene5702	gene3493	gene3266
gene2789	gene3063	gene3266	gene4208	gene3566	gene5704	gene3495	gene3269
gene2790	gene3066	gene3290	gene4210	gene3567	gene5709	gene3501	gene3272
gene2793	gene3067	gene3304	gene4212	gene3568	gene5712	gene3502	gene3284
gene2796	gene3068	gene3306	gene4223	gene3577	gene5720	gene3507	gene3290
gene2804	gene3071	gene3307	gene4230	gene3589	gene5725	gene3513	gene3296
gene2805	gene3073	gene3308	gene4234	gene3593	gene5734	gene3518	gene3304
gene2806	gene3075	gene3312	gene4238	gene3598	gene5758	gene3542	gene3308
gene2812	gene3076	gene3318	gene4240	gene3604	gene5773	gene3551	gene3312
gene2820	gene3085	gene3325	gene4243	gene3625	gene5775	gene3557	gene3317
gene2821	gene3088	gene3327	gene4245	gene3634	gene5801	gene3559	gene3321
gene2823	gene3090	gene3337	gene4248	gene3637	gene5811	gene3566	gene3325
gene2824	gene3091	gene3342	gene4249	gene3640	gene5840	gene3567	gene3327
gene2826	gene3102	gene3349	gene4266	gene3641	gene5848	gene3569	gene3330
gene2827	gene3109	gene3351	gene4268	gene3642	gene5856	gene3577	gene3333
gene2829	gene3112	gene3359	gene4276	gene3650	gene5866	gene3580	gene3336
gene2830	gene3113	gene3362	gene4278	gene3656	gene5885	gene3596	gene3349
gene2834	gene3128	gene3366	gene4298	gene3660	gene5901	gene3599	gene3350
gene2836	gene3133	gene3371	gene4299	gene3673	gene5907	gene3600	gene3365
gene2838	gene3136	gene3376	gene4303	gene3684	gene5934	gene3603	gene3371
gene2839	gene3137	gene3377	gene4304	gene3688	gene5954	gene3605	gene3373
gene2844	gene3140	gene3378	gene4327	gene3703	gene5964	gene3619	gene3377
gene2847	gene3142	gene3382	gene4352	gene3704	gene5985	gene3621	gene3378
gene2848	gene3145	gene3389	gene4366	gene3707	gene5992	gene3625	gene3379
gene2857	gene3146	gene3390	gene4367	gene3710	gene5998	gene3627	gene3390
gene2858	gene3151	gene3395	gene4388	gene3712	gene6000	gene3628	gene3399
gene2859	gene3153	gene3399	gene4396	gene3714	gene6003	gene3637	gene3402
gene2863	gene3157	gene3402	gene4398	gene3718	gene6004	gene3650	gene3420
gene2865	gene3167	gene3403	gene4410	gene3721	gene6015	gene3670	gene3431
gene2870	gene3177	gene3419	gene4411	gene3731	gene6023	gene3673	gene3432
gene2890	gene3182	gene3420	gene4413	gene3733	gene6029	gene3687	gene3434
gene2891	gene3183	gene3426	gene4414	gene3737	gene6041	gene3691	gene3435
gene2894	gene3189	gene3430	gene4415	gene3739	gene6052	gene3708	gene3440
gene2898	gene3191	gene3433	gene4428	gene3740	gene6063	gene3720	gene3449
gene2900	gene3193	gene3434	gene4445	gene3755	gene6065	gene3728	gene3452
gene2902	gene3196	gene3444	gene4457	gene3762	gene6075	gene3733	gene3459
gene2908	gene3200	gene3450	gene4480	gene3770	gene6136	gene3737	gene3480
gene2915	gene3205	gene3454	gene4482	gene3782	gene6151	gene3741	gene3482
gene2919	gene3206	gene3456	gene4500	gene3798	gene6154	gene3747	gene3485
gene2925	gene3207	gene3459	gene4507	gene3799	gene6162	gene3751	gene3487
gene2928	gene3216	gene3460	gene4520	gene3805	gene6188	gene3757	gene3490
gene2929	gene3219	gene3465	gene4522	gene3814	gene6207	gene3772	gene3491
gene2930	gene3221	gene3471	gene4540	gene3821	gene6211	gene3782	gene3493
gene2933	gene3224	gene3472	gene4553	gene3828	gene6212	gene3788	gene3495
gene2943	gene3236	gene3475	gene4554	gene3833	gene6246	gene3797	gene3507
gene2948	gene3239	gene3476	gene4581	gene3839	gene6263	gene3798	gene3508
gene2957	gene3240	gene3493	gene4588	gene3848	gene6281	gene3800	gene3513
gene2960	gene3242	gene3502	gene4597	gene3870	gene6309	gene3802	gene3514
gene2970	gene3245	gene3505	gene4601	gene3871	gene6331	gene3805	gene3522
gene2979	gene3247	gene3513	gene4602	gene3873	gene6333	gene3806	gene3524
gene2988	gene3248	gene3522	gene4625	gene3875	gene6352	gene3815	gene3530
gene2990	gene3249	gene3525	gene4639	gene3885	gene6354	gene3816	gene3535
gene2994	gene3252	gene3528	gene4643	gene3892	gene6359	gene3824	gene3537
gene2995	gene3261	gene3538	gene4644	gene3904	gene6360	gene3827	gene3538
gene2997	gene3263	gene3540	gene4648	gene3917	gene6374	gene3831	gene3540
gene3008	gene3283	gene3544	gene4676	gene3925	gene6416	gene3857	gene3542
gene3009	gene3286	gene3545	gene4693	gene3928	gene6447	gene3861	gene3558
gene3023	gene3288	gene3551	gene4699	gene3934	gene6450	gene3864	gene3559
gene3027	gene3290	gene3555	gene4718	gene3943	gene6454	gene3870	gene3564
gene3030	gene3303	gene3556	gene4736	gene3945	gene6496	gene3873	gene3566
gene3034	gene3304	gene3561	gene4740	gene3951	gene6534	gene3874	gene3567
gene3038	gene3307	gene3564	gene4746	gene3958	gene6572	gene3875	gene3568
gene3042	gene3312	gene3566	gene4756	gene3964	gene6600	gene3879	gene3573
gene3045	gene3323	gene3575	gene4762	gene3967	gene6660	gene3886	gene3598
gene3046	gene3325	gene3582	gene4783	gene3992	gene6679	gene3890	gene3599
gene3050	gene3327	gene3596	gene4807	gene3996	gene6687	gene3895	gene3601
gene3055	gene3332	gene3599	gene4808	gene3999	gene6697	gene3904	gene3610
gene3062	gene3333	gene3600	gene4823	gene4005	gene6702	gene3911	gene3611
gene3065	gene3342	gene3603	gene4828	gene4008	gene6725	gene3914	gene3613
gene3066	gene3343	gene3605	gene4838	gene4013	gene6743	gene3928	gene3617
gene3067	gene3349	gene3613	gene4839	gene4027	gene6821	gene3935	gene3634
gene3068	gene3354	gene3616	gene4853	gene4036	gene6844	gene3944	gene3637
gene3070	gene3357	gene3619	gene4854	gene4046	gene6857	gene3945	gene3650
gene3071	gene3365	gene3628	gene4871	gene4051	gene6866	gene3948	gene3652
gene3085	gene3367	gene3631	gene4874	gene4054	gene6883	gene3954	gene3653
gene3088	gene3368	gene3632	gene4878	gene4089	gene6887	gene3956	gene3676
gene3091	gene3372	gene3633	gene4894	gene4094	gene6902	gene3958	gene3677
gene3093	gene3377	gene3634	gene4895	gene4114	gene6924	gene3960	gene3688
gene3094	gene3378	gene3637	gene4901	gene4116	gene6929	gene3964	gene3696
gene3096	gene3382	gene3640	gene4923	gene4132	gene6943	gene3986	gene3701
gene3098	gene3416	gene3643	gene4958	gene4140	gene6955	gene3992	gene3704
gene3101	gene3426	gene3644	gene4967	gene4143	gene6981	gene3996	gene3710
gene3104	gene3432	gene3650	gene4976	gene4154	gene6992	gene4001	gene3718
gene3106	gene3434	gene3653	gene4989	gene4157	gene7017	gene4005	gene3729
gene3109	gene3452	gene3660	gene4995	gene4159	gene7020	gene4008	gene3730
gene3115	gene3458	gene3661	gene4999	gene4164	gene7030	gene4034	gene3734
gene3117	gene3459	gene3664	gene5000	gene4175	gene7055	gene4037	gene3739
gene3119	gene3461	gene3671	gene5004	gene4185	gene7057	gene4043	gene3741
gene3121	gene3471	gene3672	gene5016	gene4186	gene7088	gene4046	gene3745
gene3123	gene3472	gene3673	gene5029	gene4189	gene7092	gene4047	gene3746
gene3136	gene3475	gene3688	gene5031	gene4190	gene7116	gene4051	gene3755
gene3137	gene3485	gene3695	gene5043	gene4193	gene7124	gene4055	gene3773
gene3140	gene3493	gene3704	gene5045	gene4198	gene7148	gene4061	gene3782
gene3143	gene3499	gene3711	gene5056	gene4206	gene7149	gene4089	gene3788
gene3144	gene3507	gene3714	gene5088	gene4210	gene7154	gene4092	gene3796
gene3145	gene3513	gene3718	gene5132	gene4223	gene7191	gene4094	gene3798
gene3150	gene3514	gene3720	gene5136	gene4231	gene7217	gene4095	gene3799
gene3153	gene3520	gene3721	gene5137	gene4234	gene7233	gene4111	gene3806
gene3158	gene3537	gene3722	gene5147	gene4238	gene7240	gene4113	gene3822
gene3160	gene3538	gene3731	gene5169	gene4254	gene7254	gene4114	gene3824
gene3161	gene3539	gene3742	gene5171	gene4255	gene7287	gene4123	gene3834
gene3167	gene3544	gene3753	gene5172	gene4265	gene7288	gene4126	gene3839
gene3168	gene3545	gene3775	gene5177	gene4267	gene7297	gene4128	gene3855
gene3171	gene3555	gene3782	gene5200	gene4298	gene7300	gene4132	gene3856
gene3172	gene3562	gene3795	gene5209	gene4310	gene7309	gene4134	gene3857
gene3182	gene3563	gene3798	gene5217	gene4317	gene7324	gene4135	gene3864
gene3185	gene3564	gene3799	gene5218	gene4327	gene7341	gene4136	gene3868
gene3191	gene3565	gene3805	gene5219	gene4336	gene7350	gene4137	gene3879
gene3196	gene3566	gene3827	gene5234	gene4349	gene7352	gene4143	gene3901
gene3197	gene3567	gene3834	gene5241	gene4370	gene7368	gene4150	gene3904
gene3219	gene3568	gene3846	gene5252	gene4374	gene7394	gene4155	gene3928
gene3221	gene3575	gene3854	gene5267	gene4388	gene7433	gene4160	gene3929
gene3224	gene3577	gene3860	gene5270	gene4389	gene7452	gene4168	gene3939
gene3235	gene3586	gene3861	gene5272	gene4393	gene7503	gene4174	gene3943
gene3239	gene3598	gene3870	gene5277	gene4405	gene7529	gene4175	gene3945
gene3240	gene3605	gene3874	gene5316	gene4410	gene7539	gene4177	gene3952
gene3242	gene3624	gene3885	gene5323	gene4411	gene7594	gene4181	gene3956
gene3246	gene3625	gene3886	gene5335	gene4424	gene7667	gene4189	gene3958
gene3247	gene3630	gene3890	gene5349	gene4438	gene7706	gene4190	gene3987
gene3249	gene3634	gene3892	gene5367	gene4442	gene7746	gene4193	gene3994
gene3252	gene3637	gene3908	gene5382	gene4443	gene7768	gene4210	gene3995
gene3260	gene3638	gene3912	gene5383	gene4455	gene7886	gene4214	gene4001
gene3261	gene3640	gene3919	gene5386	gene4480	gene7893	gene4218	gene4004
gene3266	gene3641	gene3932	gene5390	gene4483	gene7902	gene4219	gene4005
gene3276	gene3644	gene3945	gene5400	gene4486	gene7912	gene4222	gene4037
gene3278	gene3650	gene3958	gene5434	gene4489	gene7918	gene4223	gene4041
gene3285	gene3658	gene3961	gene5443	gene4491	gene7978	gene4225	gene4045
gene3290	gene3660	gene3962	gene5458	gene4500	gene7997	gene4228	gene4046
gene3307	gene3671	gene3999	gene5464	gene4511	gene8009	gene4229	gene4048
gene3312	gene3677	gene4001	gene5467	gene4517	gene8022	gene4234	gene4051
gene3314	gene3678	gene4004	gene5475	gene4520	gene8049	gene4240	gene4053
gene3317	gene3679	gene4005	gene5508	gene4522	gene8063	gene4241	gene4070
gene3321	gene3686	gene4013	gene5512	gene4541	gene8070	gene4242	gene4080
gene3327	gene3688	gene4014	gene5521	gene4558	gene8076	gene4247	gene4094
gene3328	gene3691	gene4025	gene5530	gene4580	gene8098	gene4285	gene4111
gene3329	gene3697	gene4034	gene5532	gene4581	gene8182	gene4297	gene4114
gene3333	gene3700	gene4036	gene5534	gene4588	gene8215	gene4298	gene4115
gene3349	gene3701	gene4040	gene5546	gene4606	gene8219	gene4310	gene4118
gene3367	gene3704	gene4041	gene5553	gene4611	gene8252	gene4311	gene4123
gene3377	gene3710	gene4044	gene5580	gene4630	gene8259	gene4316	gene4124
gene3378	gene3714	gene4046	gene5597	gene4632	gene8264	gene4317	gene4128
gene3382	gene3719	gene4051	gene5604	gene4653	gene8285	gene4327	gene4129
gene3397	gene3720	gene4053	gene5606	gene4661	gene8303	gene4347	gene4134
gene3399	gene3721	gene4054	gene5636	gene4669	gene8315	gene4361	gene4135
gene3402	gene3723	gene4057	gene5665	gene4674	gene8322	gene4367	gene4136
gene3403	gene3725	gene4060	gene5668	gene4676	gene8324	gene4387	gene4137
gene3410	gene3731	gene4073	gene5682	gene4683	gene8348	gene4388	gene4139
gene3420	gene3739	gene4077	gene5696	gene4693	gene8353	gene4389	gene4140
gene3430	gene3746	gene4083	gene5702	gene4732	gene8371	gene4402	gene4142
gene3431	gene3755	gene4094	gene5706	gene4736	gene8442	gene4404	gene4143
gene3434	gene3757	gene4096	gene5710	gene4740	gene8481	gene4410	gene4148
gene3442	gene3765	gene4097	gene5714	gene4748	gene8487	gene4411	gene4164
gene3444	gene3776	gene4100	gene5731	gene4782	gene8531	gene4424	gene4168
gene3452	gene3781	gene4108	gene5775	gene4783	gene8541	gene4440	gene4174
gene3459	gene3782	gene4111	gene5779	gene4792	gene8580	gene4442	gene4175
gene3461	gene3798	gene4120	gene5787	gene4795	gene8582	gene4445	gene4178
gene3472	gene3799	gene4121	gene5796	gene4801	gene8610	gene4447	gene4179
gene3475	gene3800	gene4129	gene5835	gene4808	gene8615	gene4458	gene4183
gene3483	gene3808	gene4136	gene5846	gene4811	gene8630	gene4468	gene4184
gene3484	gene3809	gene4137	gene5853	gene4816	gene8638	gene4473	gene4189
gene3485	gene3810	gene4140	gene5865	gene4817	gene8641	gene4480	gene4190
gene3490	gene3811	gene4142	gene5876	gene4823	gene8655	gene4496	gene4198
gene3493	gene3826	gene4143	gene5877	gene4826	gene8656	gene4497	gene4200
gene3498	gene3828	gene4164	gene5912	gene4838	gene8713	gene4500	gene4206
gene3503	gene3829	gene4175	gene5934	gene4853	gene8731	gene4507	gene4208
gene3507	gene3839	gene4177	gene5954	gene4856	gene8778	gene4511	gene4210
gene3513	gene3856	gene4183	gene5962	gene4867	gene8780	gene4522	gene4218
gene3522	gene3859	gene4186	gene5964	gene4873	gene8791	gene4536	gene4223
gene3535	gene3863	gene4187	gene5968	gene4874	gene8808	gene4552	gene4234
gene3538	gene3868	gene4189	gene5992	gene4878	gene8849	gene4553	gene4238
gene3539	gene3870	gene4190	gene5998	gene4892	gene8892	gene4561	gene4242
gene3540	gene3872	gene4192	gene6000	gene4895	gene8893	gene4580	gene4249
gene3542	gene3875	gene4200	gene6006	gene4903	gene8909	gene4581	gene4253
gene3545	gene3899	gene4208	gene6007	gene4907	gene8939	gene4582	gene4258
gene3555	gene3904	gene4209	gene6009	gene4921	gene8941	gene4584	gene4264
gene3564	gene3905	gene4210	gene6029	gene4923	gene8946	gene4587	gene4276
gene3566	gene3907	gene4223	gene6064	gene4931	gene8960	gene4597	gene4287
gene3567	gene3945	gene4234	gene6065	gene4938	gene8974	gene4598	gene4299
gene3572	gene3958	gene4238	gene6097	gene4967	gene9029	gene4609	gene4306
gene3576	gene3961	gene4241	gene6100	gene4989	gene9032	gene4611	gene4310
gene3577	gene3979	gene4243	gene6104	gene4998	gene9074	gene4612	gene4311
gene3580	gene3992	gene4245	gene6127	gene5029	gene9112	gene4623	gene4339
gene3584	gene4000	gene4246	gene6151	gene5031	gene9153	gene4630	gene4347
gene3591	gene4002	gene4253	gene6175	gene5056	gene9158	gene4638	gene4349
gene3598	gene4004	gene4271	gene6197	gene5092	gene9160	gene4651	gene4361
gene3599	gene4005	gene4276	gene6211	gene5096	gene9164	gene4657	gene4366
gene3606	gene4015	gene4280	gene6233	gene5128	gene9196	gene4658	gene4388
gene3613	gene4024	gene4282	gene6241	gene5132	gene9208	gene4662	gene4389
gene3620	gene4032	gene4307	gene6246	gene5147	gene9237	gene4663	gene4407
gene3625	gene4041	gene4310	gene6263	gene5156	gene9248	gene4676	gene4411
gene3626	gene4046	gene4311	gene6277	gene5157	gene9287	gene4693	gene4415
gene3630	gene4049	gene4312	gene6281	gene5171	gene9288	gene4700	gene4420
gene3634	gene4051	gene4315	gene6291	gene5174	gene9321	gene4702	gene4435
gene3637	gene4053	gene4347	gene6306	gene5178	gene9327	gene4704	gene4440
gene3640	gene4055	gene4350	gene6309	gene5193	gene9366	gene4707	gene4447
gene3643	gene4060	gene4369	gene6311	gene5195	gene9382	gene4712	gene4454
gene3644	gene4105	gene4371	gene6331	gene5202	gene9388	gene4713	gene4460
gene3650	gene4113	gene4379	gene6333	gene5218	gene9398	gene4717	gene4480
gene3651	gene4116	gene4384	gene6353	gene5226	gene9404	gene4722	gene4485
gene3659	gene4123	gene4388	gene6354	gene5229	gene9461	gene4732	gene4486
gene3660	gene4127	gene4392	gene6360	gene5241	gene9466	gene4752	gene4496
gene3670	gene4134	gene4393	gene6374	gene5253	gene9583	gene4758	gene4499
gene3673	gene4135	gene4418	gene6375	gene5274	gene9628	gene4775	gene4500
gene3684	gene4136	gene4424	gene6380	gene5277	gene9695	gene4783	gene4511
gene3685	gene4137	gene4436	gene6392	gene5310	gene9699	gene4793	gene4520
gene3691	gene4146	gene4438	gene6395	gene5335	gene9704	gene4795	gene4530
gene3693	gene4148	gene4456	gene6406	gene5339	gene9716	gene4801	gene4541
gene3702	gene4166	gene4470	gene6450	gene5347	gene9744	gene4809	gene4547
gene3704	gene4175	gene4480	gene6459	gene5349	gene9747	gene4810	gene4554
gene3706	gene4177	gene4491	gene6484	gene5353	gene9762	gene4812	gene4561
gene3710	gene4189	gene4494	gene6496	gene5371	gene9780	gene4814	gene4565
gene3711	gene4190	gene4500	gene6501	gene5375	gene9837	gene4823	gene4623
gene3714	gene4198	gene4501	gene6513	gene5382	gene9845	gene4847	gene4632
gene3715	gene4201	gene4506	gene6524	gene5386	gene9857	gene4857	gene4635
gene3720	gene4202	gene4507	gene6534	gene5390	gene9891	gene4871	gene4645
gene3721	gene4205	gene4511	gene6544	gene5400	gene9907	gene4873	gene4676
gene3722	gene4208	gene4538	gene6553	gene5411	gene9921	gene4874	gene4686
gene3733	gene4211	gene4541	gene6611	gene5415	gene9978	gene4876	gene4693
gene3738	gene4216	gene4562	gene6624	gene5420	gene10033	gene4878	gene4712
gene3741	gene4223	gene4566	gene6659	gene5427	gene10055	gene4894	gene4736
gene3742	gene4231	gene4580	gene6660	gene5434	gene10074	gene4895	gene4738
gene3743	gene4232	gene4581	gene6671	gene5439	gene10107	gene4921	gene4739
gene3755	gene4234	gene4611	gene6679	gene5446	gene10154	gene4923	gene4748
gene3757	gene4235	gene4638	gene6687	gene5447	gene10169	gene4938	gene4770
gene3760	gene4238	gene4643	gene6702	gene5475	gene10206	gene4943	gene4773
gene3770	gene4239	gene4645	gene6716	gene5483	gene10238	gene4955	gene4777
gene3772	gene4240	gene4676	gene6725	gene5507	gene10241	gene4960	gene4783
gene3776	gene4243	gene4700	gene6749	gene5512	gene10250	gene4967	gene4785
gene3782	gene4245	gene4712	gene6780	gene5527	gene10252	gene4978	gene4788
gene3787	gene4249	gene4722	gene6813	gene5546	gene10272	gene4989	gene4793
gene3788	gene4253	gene4736	gene6854	gene5553	gene10276	gene4990	gene4816
gene3790	gene4257	gene4788	gene6874	gene5606	gene10298	gene4996	gene4823
gene3791	gene4265	gene4800	gene6929	gene5640	gene10301	gene4999	gene4826
gene3796	gene4269	gene4810	gene6940	gene5669	gene10314	gene5033	gene4856
gene3799	gene4276	gene4813	gene6952	gene5675	gene10356	gene5046	gene4858
gene3805	gene4280	gene4816	gene6965	gene5682	gene10364	gene5053	gene4874
gene3808	gene4300	gene4823	gene6978	gene5688	gene10395	gene5056	gene4877
gene3815	gene4303	gene4844	gene6980	gene5697	gene10416	gene5077	gene4882
gene3816	gene4310	gene4856	gene6981	gene5702	gene10436	gene5080	gene4892
gene3824	gene4313	gene4870	gene6992	gene5711	gene10463	gene5088	gene4895
gene3826	gene4331	gene4874	gene6996	gene5714	gene10500	gene5113	gene4909
gene3827	gene4336	gene4878	gene7020	gene5720	gene10520	gene5129	gene4923
gene3828	gene4337	gene4895	gene7030	gene5725	gene10524	gene5131	gene4942
gene3837	gene4342	gene4912	gene7057	gene5733	gene10550	gene5135	gene4945
gene3838	gene4352	gene4921	gene7060	gene5748	gene10628	gene5141	gene4950
gene3839	gene4363	gene4923	gene7116	gene5775	gene10636	gene5147	gene4953
gene3857	gene4365	gene4925	gene7123	gene5779	gene10642	gene5148	gene4967
gene3866	gene4370	gene4943	gene7124	gene5815	gene10664	gene5156	gene4983
gene3870	gene4374	gene4947	gene7148	gene5830	gene10684	gene5174	gene5029
gene3885	gene4382	gene4950	gene7149	gene5856	gene10692	gene5189	gene5031
gene3894	gene4383	gene4967	gene7154	gene5857	gene10693	gene5197	gene5044
gene3901	gene4384	gene4989	gene7175	gene5877	gene10723	gene5200	gene5056
gene3904	gene4388	gene4996	gene7191	gene5882	gene10767	gene5209	gene5107
gene3907	gene4392	gene5013	gene7217	gene5902	gene10788	gene5218	gene5147
gene3908	gene4400	gene5031	gene7224	gene5916	gene10798	gene5222	gene5151
gene3919	gene4404	gene5045	gene7240	gene5934	gene10809	gene5229	gene5156
gene3923	gene4411	gene5058	gene7245	gene5937	gene10818	gene5241	gene5170
gene3943	gene4420	gene5089	gene7273	gene5954	gene10820	gene5252	gene5171
gene3945	gene4426	gene5109	gene7288	gene5962	gene10832	gene5298	gene5172
gene3955	gene4440	gene5144	gene7294	gene5964	gene10850	gene5321	gene5174
gene3958	gene4455	gene5147	gene7320	gene5974	gene10908	gene5331	gene5178
gene3980	gene4463	gene5150	gene7324	gene5992	gene10911	gene5335	gene5184
gene3983	gene4468	gene5155	gene7326	gene5998	gene10920	gene5339	gene5200
gene3999	gene4480	gene5156	gene7341	gene6000	gene10965	gene5344	gene5218
gene4002	gene4482	gene5168	gene7352	gene6003	gene11006	gene5349	gene5226
gene4004	gene4483	gene5172	gene7368	gene6004	gene11030	gene5375	gene5235
gene4005	gene4486	gene5174	gene7378	gene6015	gene11038	gene5382	gene5240
gene4009	gene4497	gene5200	gene7387	gene6022	gene11080	gene5400	gene5241
gene4013	gene4505	gene5201	gene7394	gene6029	gene11132	gene5411	gene5246
gene4016	gene4508	gene5218	gene7400	gene6040	gene11135	gene5440	gene5250
gene4032	gene4511	gene5219	gene7419	gene6044	gene11147	gene5446	gene5260
gene4037	gene4512	gene5240	gene7425	gene6049	gene11175	gene5466	gene5263
gene4038	gene4520	gene5247	gene7452	gene6052	gene11208	gene5475	gene5270
gene4039	gene4541	gene5255	gene7473	gene6063	gene11323	gene5503	gene5273
gene4045	gene4545	gene5318	gene7492	gene6065	gene11343	gene5512	gene5277
gene4046	gene4551	gene5330	gene7494	gene6097	gene11395	gene5531	gene5279
gene4049	gene4559	gene5335	gene7503	gene6108	gene11408	gene5544	gene5290
gene4051	gene4571	gene5344	gene7572	gene6151	gene11411	gene5546	gene5298
gene4053	gene4574	gene5349	gene7582	gene6172	gene11437	gene5553	gene5299
gene4054	gene4580	gene5356	gene7594	gene6182	gene11440	gene5556	gene5303
gene4055	gene4581	gene5357	gene7596	gene6196	gene11456	gene5598	gene5308
gene4077	gene4586	gene5364	gene7601	gene6211	gene11470	gene5605	gene5315
gene4078	gene4601	gene5375	gene7629	gene6254	gene11483	gene5606	gene5328
gene4079	gene4605	gene5382	gene7632	gene6263	gene11502	gene5641	gene5335
gene4083	gene4619	gene5392	gene7639	gene6281	gene11508	gene5655	gene5341
gene4090	gene4625	gene5400	gene7667	gene6291	gene11511	gene5665	gene5344
gene4105	gene4636	gene5410	gene7702	gene6296	gene11516	gene5668	gene5349
